original_sentence,nearest_neighbor,cosine_similarity
31 માર્ચ 2021 સુધી ભારતના તમામ નાગરિકોએ તેમના પાનકાર્ડને આધાર કાર્ડ સાથે લિંક કરી લેવું પડશે.,જો વિગતે વાત કરીએ તો સરકારના કડક આદેશ છે કે પાનકાર્ડને આધાર સાથે લિંક કરવું ફરજીયાત થઇ ગયુ છે.,0.3354
"જો તમે આ કામ નહી કરો તો ઇન્કમ ટેક્સ એક્ટ હેઠળ તમને 10,000 રૂપિયાનો દંડ ભરવો પડી શકે છે.",નવા ટ્રાફિક નિયમો લાગુ કરી દેવાયા બાદ આ નિયમોનો ભંગ કરનાર લોકોને દંડ ભરવો પડી રહ્યો છે.,0.2501
વળી તેણે તેના નાકમાં મોટી નથણી પણ પહેરી છે.,આ વર્ષે પસંદગી બહુ મોટી છે.,0.1227
આ તપાસ ક્રાઈમ બ્રાંચને સોંપી દેવામાં આવી જે બાદ દિલ્હીની અદાલતે મહાક્ષય અને તેમની માતાને આગોતરા જામીન આપી દીધા.,જેમાં આજે આગોતરા જામીનની સુનાવણી માટે અદાલતમાં આવતા અદાલતે એસટી અધિકારીનો કબ્જો પોલીસને સોંપી દીધો હતો અને પોલીસે વધુ તપાસ હાથ ધરી છે.,0.2450
રાજ્ય સરકારના મંત્રીએ પણ પાણીપૂરી બંધ કરવા પ્રતિબંધ મૂક્યો,"ઉત્તરપ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથે પણ બુધવારે આરોપ મૂક્યો હતો કે, વિરોધી પાર્ટીઓ રાજ્ય વિરુદ્ધ કાવતરાં ઘડી રહી છે.",0.1698
"ઇન્ટરવ્યૂ / અનુષ્કા શર્માએ કર્યો વિરાટ કોહલીથી જોડાયેલ ખુલાસો, કહ્યું હું જો એના કપડા.",શર્માએ જણાવ્યું.,0.1723
..,..,1.0000
"૧૯૮૮ માં સ્વામીશ્રીની પુનઃ વિદેશયાત્રા યોજાય, એ દિવસે બ્રિટીશ પાર્લામેન્ટના ઇતિહાસમાં એક અભૂતપૂર્વ પ્રસંગ બની ગયો.",કિશોર એની પાસે ગયો.,0.1025
આજની મેચમાં ટીમમાં છે બે ફેરફાર,આ મેચમાં કઈ પણ થઈ શકે છે.,0.2469
બ્રિટીશની આ ૮૦૦ વર્ષ પુરાણી પાર્લામેન્ટની ઈમારતમાં ત્યાનાં વરિષ્ઠ સ્પીકર અને સંસદ સભ્યોએ પરમ પૂજ્ય પ્રમુખસ્વામીજીનું અભૂતપૂર્વ સન્માન કર્યું.,મળ્યા હતા ઘણાં સન્માન અને,0.1040
"વિપક્ષ દળોએ આરોપ લગાવ્યા હતા કે લોકતાંત્રિક માપદંડો, નાગરિકોના મૌલિક અધિકારો અને એમની સ્વતંત્રતા પર હુમલા વધી રહ્યા છે.",પોલીસ પર લગાવ્યા આરોપ,0.3059
આ પ્રસંગે લેસ્ટર ઇસ્ટના એમ.,એમ.,0.3415
માત્ર દિલ્હીમાં જનહિ પરંતુ દેશભરમાં પ્રદુષણ જટીલ સમસ્યા બની છે.,આ માત્ર સ્ત્રીઓ એ ને જ નહીં પરંતુ પુરુષો માટે પણ આ એક મોટી સમસ્યા બની ગઈ છે.,0.2228
"મિસ્ટર કીથવાઝે સ્વામીશ્રીનું અભિવાદન આપતા કહ્યું, “ આપને આવકારતા મને ખુબ આનંદ થાય છે.",આપને તેનાથી શું મળશે.,0.1342
આપે અમારું ગૌરવ વધાર્યું છે.,"ફોન કર્યા, પરંતુ તેમણે ફક્ત એમ કહ્યું કે અમારું લગ્ન સમાપ્ત થઈ ગયું છે.",0.2158
” સમાજના પ્રાણ સમાન એવા પ્રમુખસ્વામીજી માટે હર કોઈ ગૌરવ લઇ શકે.,”,0.2438
મોટી સંખ્યામાં રમત સ્થાનો પર અથડામણ થઈ.,રમત શરૂ કરો.,0.2782
"ભાવનગર,તા.",જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
૩ ભાવનગર સોમનાથ ધોરી માર્ગ પરના ભંડારિયા ગામે આજે સવારે નાળા પરથી કેમિકલ ભરેલું ટેન્કર.,૩,0.2000
ડો.,ડો.,1.0000
શાર્ક વધુ સ્ત્રીઓ કરતાં પુરૂષો પર હુમલો થવાની સંભાવના છે,કોઈ ભૂલ થવાની સંભાવના છે.,0.3184
"૨૧,૫૦૦ કરોડના માદક દ્રવ્યો ઝડપાયા- ૫ માસમાં ૩ સ્થળેથી નશીલા પદાર્થો મળ્યા",૩,0.2018
આ જ ઇન્ટરવ્યૂમાં પીસીએ જણાવ્યું છે કે લગ્ન પહેલા એ નિકની જાસૂસી પણ કરાવી ચુકી છે અને એવું કરવા પાછળનું કારણ પણ મજેદાર છે.,તમારી સાથે પણ એવું જ થાય છે.,0.1917
જો તમે નાનું રોકાણ કરી મોટો નફો કમાવવા માંગો છો તો કરો અહીં રોકાણ,"જો તમે પીપીએફ, સુકન્યા યોજના અથવા નેશનલ સેવિંગ સ્કીમ અંતર્ગત રોકાણ કરો છો તો આપને 1 જુલાઈથી મોટો ઝટકો લાગી શકે છે.",0.2887
આ સમય રાતના 10 વાગ્યાથી લઈને સવારના 5 વાગ્યા સુધી હોઈ શકે છે.,30 ટકા સુધી હોઈ શકે છે.,0.3049
તેમની વિરુદ્ધ કેસ ચાલ્યો અને આ વર્ષે જાન્યુઆરીમાં કુતરાના માલિકને કોર્ટે એક વર્ષની જેલની સજા સંભળાવી.,અને પછી આસિફે માંડીને દિલિપને ફિલ્મની વાર્તા સંભળાવી.,0.1744
પંડયાએ કોર્ટમાં આ નિર્ણયને પડકારતા જામીન અરજી દાખલ કરી.,આ નિર્ણયને તમામ પક્ષકારોએ સુપ્રીમ કોર્ટમાં પડકાર્યો હતો.,0.2504
"ખરેખર તો, કોઈ ચોક્કસ સારવાર લોકોને ચેપ લાગતો અટકાવી શકે અથવા ચેપની તીવ્રતા ઘટાડી શકે કે કેમ તેનું વ્યવસ્થિત પરીક્ષણ કરવાની જરૂર છે.","હીપેટાઇટિસ સી સાથે, ક્રોનિક ચેપ ઘણી વખત થોડા, જો કોઈ હોય તો, લક્ષણો સાથે 20 વર્ષ અથવા વધુ માટે ચાલુ રહે છે.",0.1518
કમિશનર ઉદિત અગ્રવાલ ઉપસ્થિત રહેશે.,કમિશનર ઉદિત અગ્રવાલે આભાર માન્યો હતો.,0.4407
ચોથા દિવસના અંતે ઓસ્ટ્રેલિયાએ બીજી ઇનિંગમાં ચાર વિકેટના નુકસાન પર 104 રન બનાવ્યા હતા.,બીજા દિવસની રમતના અંતે ઓસ્ટ્રેલિયાએ 7 વિકેટના નુકસાન પર 191 રન બનાવ્યા હતા.,0.5355
દિવસના અંતે શોન માર્શ 31 અને ટ્રેવિસ હેડ 11 રન બનાવીને રમી રહ્યા હતા.,11 છે.,0.2249
ઓસ્ટ્રેલિયાને જીતવા માટે હજુ 219 રનની જરૂર છે અને તેની છ વિકેટ હાથમાં છે.,ટીમ ઇન્ડિયાએ ઓસ્ટ્રેલિયાને જીતવા માટે 323 રનનો ટાર્ગેટ આપ્યો હતો.,0.2850
વિમાનનું બ્લેકબોક્સ મળી ગયું છે.,પોલીસ તંત્ર વેચાઈ ગયું છે.,0.1557
ટીમ ઇન્ડિયાએ ઓસ્ટ્રેલિયાને જીતવા માટે 323 રનનો ટાર્ગેટ આપ્યો હતો.,ચેમ્પિયન્સ ટ્રોફી : ભારતે શ્રીલંકાને જીત માટે આપ્યો 322 રનનો ટાર્ગેટ,0.2856
પ્રથમ ટેસ્ટના ત્રીજા દિવસના અંતે બીજી ઈનિંગમાં ભારતીય ટીમે 3 વિકેટ ગુમાવી 151 રન બનાવ્યા હતા.,ચોથા દિવસના અંતે ઓસ્ટ્રેલિયાએ બીજી ઇનિંગમાં ચાર વિકેટના નુકસાન પર 104 રન બનાવ્યા હતા.,0.3105
લોકેશ રાહુલ અને મુરલી વિજયે પ્રથમ વિકેટ માટે 63 રનની ભાગીદારી કરી હતી.,તેને વોર્નરની સાથે પહેલી વિકેટ માટે 146 રનની ભાગીદારી કરી હતી.,0.3563
"ઉનાળાની શરુઆતમાં જ આકરો તાપ પડવા લાગ્યો છે ત્યારે ભગવાનને ગરમીમાંથી રાહત આપવા તેમજ ઠંડી મળે તે માટે ભૂમંડળ સ્થિત તીર્થોત્તમ ધામ શ્રી સ્વામિનારાયણ મંદિર,  મણિનગરે સર્વાવતારી શ્રી સ્વામિનારાયણ ભગવાન - શ્રી ઘનશ્યામ મહાપ્રભુ, શ્રી હરિકૃષ્ણ મહારાજને ભગવાનને ચંદનના વાઘાનો કલાત્મક શણગાર કરવામાં આવ્યો હતો.",શ્રી સ્વામિનારાયણ ગાદી સંસ્થાનના આચાર્ય શ્રી પુરુષોત્તમપ્રિયદાસજી સ્વામીજી મહારાજે તથા પૂજારી સંતોએ ભગવાનને સુગંધીમાન ચંદનના કલાત્મક શણગાર - વાઘા ધરાવ્યા હતા.,0.3209
કેપ્ટન વિરાટ કોહલી 34 રન બનાવી આઉટ થયો હતો.,નવી દિલ્હી: ભારતીય કેપ્ટન વિરાટ કોહલી ઓસ્ટ્રેલિયા સામે કેનબરાના ઓવલમાં રમાયેલી ત્રીજી વન-ડેમાં ૬૩ રન બનાવી જોશ હેઝલવુડનો શિકાર બન્યો હતો.,0.3287
આ પહેલા ત્રીજા દિવસે ઓસ્ટ્રેલિયાની ઈનિંગ 235 રનમાં સમેટાઈ જતાં ભારતને 15 રનની નજીવી સરસાઈ મળી હતી.,શમીએ વેડ અને હેઝડવુડને સતત બે બોલમાં આઉટ કરી ઓસ્ટ્રેલિયાની ઈનિંગ સમાપ્ત કરી હતી.,0.1851
ઓસ્ટ્રેલિયા તરફથી હેડે સર્વાધિક 72 રન બનાવ્યા હતા.,ઓસ્ટ્રેલીયા - કોણે કેટલા રન બનાવ્યા,0.2186
..,..,1.0000
જીવન જરૂરીયાતની ચીજોમાં સરકારે ગરીબ અને મધ્યમવર્ગને રાહત આપવી જોઈએ તેવી માંગ ઉઠાવવામાં આવી હતી.,"દ્વારા બંધને ટેકો આપવામાં આવ્યો નથી જેથી દેશભરમાં પૈંડાઓ થંભશે નહીં, જીવન જરૂરીયાતની તમામ વસ્તુ સરળતાથી મળી રહેશે.",0.1616
શમીએ વેડ અને હેઝડવુડને સતત બે બોલમાં આઉટ કરી ઓસ્ટ્રેલિયાની ઈનિંગ સમાપ્ત કરી હતી.,આ પહેલા ત્રીજા દિવસે ઓસ્ટ્રેલિયાની ઈનિંગ 235 રનમાં સમેટાઈ જતાં ભારતને 15 રનની નજીવી સરસાઈ મળી હતી.,0.1851
વિકેટકિપર રિષભ પંતે 6 કેચ ઝડપ્યા હતા.,જેમાં 8 ચોગ્ગા અને 6 છગ્ગા સામેલ હતા.,0.1297
બીજા દિવસની રમતના અંતે ઓસ્ટ્રેલિયાએ 7 વિકેટના નુકસાન પર 191 રન બનાવ્યા હતા.,ચોથા દિવસના અંતે ઓસ્ટ્રેલિયાએ બીજી ઇનિંગમાં ચાર વિકેટના નુકસાન પર 104 રન બનાવ્યા હતા.,0.5355
ઓસ્ટ્રેલિયાની ઈનિંગની શરૂઆત પણ સારી નહોતી રહી અને 100 રન સુધીમાં જ 4 વિકેટ ગુમાવી દીધી હતી.,દિલ્હી તરફથી ગૌતમ ગંભિર અને મુનરોએ ઈનિંગની શરૂઆત કરી હતી.,0.2612
કોરોનાની સારવાર માટે દરેક રાજ્યોએ પોતાના હેલ્પ લાઈન નંબર્સ જાહેર કર્યા છે.,હાલ 79 દર્દીઓ કોરોનાની સારવાર લઈ રહ્યા છે.,0.1938
ઓસ્ટ્રેલિયાએ પણ ટી-૨૦ માટે નવો ડ્રેસ પસંદ કર્યો,હવે પછીના ચક્રમાં પુરુષો માટે કુલ ૮ વનડે અને ટી-૨૦ આંતરરાષ્ટ્રીય ટૂર્નામેન્ટની જોગવાઈ છે.,0.1923
પાવરપોઇન્ટ ક્યાંતો માહિતી પહોંચાડવાનો એક વિચિત્ર રસ્તો અથવા સહભાગીઓને તેમની ચેરમાં સૂવા માટે ઝડપી રીત હોઈ શકે છે.,તેમની વચ્ચે હોઈ શકે છે:,0.1989
પરિણામો મુખ્યત્વે તેના મૂળભૂત પાવરપોઇન્ટ નિયમોના અનુસરતા પ્રસ્તુતકર્તાને કેટલી સારી રીતે અનુસરે છે તેના આધારે નિર્ભર છે.,પાવરપોઇન્ટ ક્યાંતો માહિતી પહોંચાડવાનો એક વિચિત્ર રસ્તો અથવા સહભાગીઓને તેમની ચેરમાં સૂવા માટે ઝડપી રીત હોઈ શકે છે.,0.1627
"બીજી તરફ કોંગ્રેસ મુસ્લિમ, દલિત અને ગ્રામીણ વિસ્તારોમાં પકડ હોવાને કારણે ખરાબ દિવસોમાં પણ 40 ટકા વોટને આધાર બનાવવામાં સફળ રહી છે.",જ્યારે ગ્રામીણ વિસ્તારોમાં કેટલીક છૂટ અપાઇ છે.,0.1956
"આ નિષ્ઠુર શિયાળામાં 50 વર્ષ પહેલાથી જ કરવામાં આવી નથી નવેમ્બરમાં હિમ 30 ડિગ્રી હિટ, અને જાન્યુઆરી, તાપમાન શૂન્ય નીચે 40-45 ડિગ્રી ઘટાડો થયો હતો.",૩ ડિગ્રી સરેરાશ મહત્તમ તાપમાન નોંધાયું હતું.,0.2166
પેંટાગનના પ્રવક્તા કર્નલ રૉબ મૈનિંગ એ એક નિવેદનમાં કહ્યું કે શરૂઆતની તપાસ પરથી સંકેત મળ્યા કે આ એક આંતરમહાદ્વવીપીય મિસાઇલ હતી.,રૉબ એ કહ્યું કે આ મિસાઇલ ઉત્તર કોરિયાના સેન ની થી છોડવામાં આવી અને અંદાજે 1000 કિલોમીટનું અંતર કાપ્યા બાદ જાપાનના દરિયામાં જઇને પડી.,0.2235
જ્યારે લાખો રૂપિયાની ફી વસુલતી આ સ્કૂલોના ફી ઓર્ડર તો ઈશ્યૂ થયા જ નથી.,નિર્ધારીત સમયમાં વધુ ફી વસુલતી ખાનગી સ્કૂલોના ફી ઓર્ડર ઈશ્યૂ કરવામાં કમિટી નિષ્ફળ નિવડી છે.,0.6602
આપને જણાવી દઇએ કે દક્ષિણ કોરિયા અને જાપાન એ એક-બે દિવસ પહેલાં જ એવા સમાચાર છાપ્યા હતા તેમાં ઉત્તર કોરિયા દ્વારા ફરીથી મિસાઇલ ટેસ્ટ કરવાની આશંકા વ્યક્ત કરાઇ હતી.,આપને જણાવી દઇએ કે સપ્તાહની શરૂઆત બજારે ગ્રીન ઝોનની સાથે કરી હતી પરંતુ ચાર દિવસની તેજી બાદ હવે બજારમાં ઘટાડો જોવા મળી રહ્યો છે.,0.1406
જેના આધારે પોલીસે વોચ ગોઠવીને સ્કોરપિયોમાં જઈ રહેલા પ્રશાંતને રસ્તામાં જ આંતરી લીધો હતો.,રસ્તામાં તેને ચાવતા રહો.,0.1235
કોન્વોકેશન ગ્રાઉન્ડ નજીક આવેલા વ્હાઇટ હાઉસમાં રાષ્ટ્રપતિ માટે ખાસ ગ્રીનરૃમ બનાવવા માટે પણ કવાયત શરૃ કરી દેવામાં આવી છે.,જ્યારે 1930 ફ્લાઈટ રદ કરી દેવામાં આવી છે અને સાથે જ ટ્રેન વ્યવહાર પણ બંધ કરી દેવામાં આવ્યો છે.,0.1483
ન્યુટ્ર રેઝ 2008 28 (5): 315-20,"તે દ્રશ્ય જાંબલી, જે નુકસાનકારક અલ્ટ્રાવાયોલેટ રેઝ થી રેટિના સામે રક્ષણ આપે છે સમાવેશ થાય છે.",0.1812
આધુનિક પ્રેરક,તે આધુનિક ટેકનોલોજીથી સજ્જ છે.,0.2821
"મધ્ય પ્રદેશના ભિંડમાં એક વ્યક્તિ વડાપ્રધાન નરેન્દ્ર મોદીના ચૂંટણી ભાષણને કંઈક વધારે ગંભીરતાથી લેતો રહ્યો, જેને લઇ હવે એ મુશ્કેલીમાં છે.",૧૬ : મધ્ય પ્રદેશના ગુના જિલ્લાનો એક વીડિયો સામે આવ્યો છે.,0.1731
ભિંડ જિલ્લાના આલમપુર સ્થિત સ્ટેટ SBIનો છે.,સ્થિત 100 કિ.,0.1451
તેઓ ૨૦૦૪થી નાગરિક બેન્કમાં ડિરેકટર અને ૨૦૧૫ી વાઇસ ચેરમેન તરીકે સેવા આપી રહ્યા છે.,ત્યારબાદ ૨૦૧૨થી ૨૦૧૫ સુધી બેન્કનાં વાઇસ ચેરમેન તરીકે અને ૨૦૧૫ી ચેરમેન તરીકે સેવા આપે છે.,0.5178
"આ કચુંબર સામાન્ય સલાડ બાઉલ અને સ્તરો અથવા મિશ્ર મેયોનેઝ અથવા દહીં કારણ કે ભાગો સેવા આપતા; ટમેટા, ગાજર અને કાકડી ટી ની નાની પાઇ સુશોભન ફૂલો પર ફેલાય શકે છે.",મેયોનેઝ ડ્રેસિંગ માટે આદર્શ છે.,0.1441
બેંકરે ફોટા અલગ અલગ લગાવ્યા સરનામું અને ખાતા નંબર એક જ એટલે ખોટું એક અને માલિક બે.,સૌરાષ્ટ્ર યુનિવર્સિટીની જ બે અલગ અલગ રમતના ખેલાડીઓને અલગ અલગ ભાવના ટ્રેકશૂટ આપી આવો ભેદભાવ શા કરાણે કરે છે.,0.2324
"એક ત્રિકોણીય ચહેરા માટે ભમરનું આકાર ઊભા કરવામાં આવે છે, જેમાં એક સરળ બેન્ડિંગ લાઇન છે;","પ્રથમ, હકીકત એ છે કે તે આકાર અને તમારી નજર જ આકાર વળેલો હોય લેટેક્ષ નાના ટુકડાઓ હતી સાથે શરૂ કરો.",0.1275
આગામી બે દિવસ લૂ નો કહેર યથાવત્ રહેશે,આગામી તા.,0.2086
ઓસ્ટ્રેલીયા - કોણે કેટલા રન બનાવ્યા,ઓસ્ટ્રેલિયા તરફથી હેડે સર્વાધિક 72 રન બનાવ્યા હતા.,0.2186
નવા સરપંચને પણ ઇજાઓ,જેમાં અવાર નવાર હુમલા કરી ભારતના સૈનિકોને ઇજાઓ પહોંચાડી રહ્યા છે.,0.2164
"એક ટૂંકા fluffy પેટર્ન, ચુસ્ત ડ્રેસ અને બૂટ, બુટ એક ઉત્તમ દાગીનોમાં એક થવું પડશે.","ઉનાળામાં અમે અમારા પગ મુક્ત કરવાનો પ્રયાસ કરીએ છીએ જેથી તેઓ ઓછામાં ઓછા બૂટ, પગની ઘૂંટીના બૂટ, પગરખાં અને સેન્ડલ ખરીદવાથી થોડો આરામ કરશે.",0.1889
ગુજરાત સરકારની કંપની-ગુજરાત ઊર્જા વિકાસ નિગમ લિમિટેડએ પ્રવર્તમાન કોલસાની તંગીને પગલે તાતાની કંપની કોસ્ટલ ગુજરાત પાવર લિમિટેડ-સીજીપીએલ પાસેથી 4 અઠવાડિયા માટે યુનિટદીઠ રૂ.,"રસપ્રદ એ છે કે, અત્યાર સુધી કોલસાની તંગી અને અપોષણક્ષમ ભાવને નામે રાજ્ય સરકારને વીજસપ્લાય બંધ કરનારી અદાણી જૂથની કંપની, તાતાની કંપનીને પગલે સાડા ચાર રૂપિયાના ભાવે વીજળી આપી લાભ લેવા એકાએક તૈયાર થઈ ગઈ છે.",0.1378
4.,4.,1.0000
"50ના ભાવે રોજ 1,800 મેગાવોટ વીજળી ખરીદવા કામચલાઉ કરાર કર્યા પછી આ જ રેટથી પાવર ખરીદવા માટે અદાણી જૂથની અદાણી પાવર લિમિટેડ સાથે પણ સમજૂતી થઈ છે અને એણે પણ શનિવારની મધરાતથી રોજ 1 હજાર મેગાવોટ વીજળી સપ્લાય કરવાનું શરૂ કર્યું છે.","રસપ્રદ એ છે કે, અત્યાર સુધી કોલસાની તંગી અને અપોષણક્ષમ ભાવને નામે રાજ્ય સરકારને વીજસપ્લાય બંધ કરનારી અદાણી જૂથની કંપની, તાતાની કંપનીને પગલે સાડા ચાર રૂપિયાના ભાવે વીજળી આપી લાભ લેવા એકાએક તૈયાર થઈ ગઈ છે.",0.1805
"રસપ્રદ એ છે કે, અત્યાર સુધી કોલસાની તંગી અને અપોષણક્ષમ ભાવને નામે રાજ્ય સરકારને વીજસપ્લાય બંધ કરનારી અદાણી જૂથની કંપની, તાતાની કંપનીને પગલે સાડા ચાર રૂપિયાના ભાવે વીજળી આપી લાભ લેવા એકાએક તૈયાર થઈ ગઈ છે.","50ના ભાવે રોજ 1,800 મેગાવોટ વીજળી ખરીદવા કામચલાઉ કરાર કર્યા પછી આ જ રેટથી પાવર ખરીદવા માટે અદાણી જૂથની અદાણી પાવર લિમિટેડ સાથે પણ સમજૂતી થઈ છે અને એણે પણ શનિવારની મધરાતથી રોજ 1 હજાર મેગાવોટ વીજળી સપ્લાય કરવાનું શરૂ કર્યું છે.",0.1805
જોકે અદાણી સાથેના પીપીએનો રેટ હાલના કામચલાઉ ભાવથી થોડો વધુ એટલે કે રૂ.,રૂ.,0.1916
"શુકલ ગ્રુપ ઓફ કોલેજિસ),શ્રીમતી સુમીતાબેન રાજેશભાઈ ચાવડા(ભાજપ ગ્રામ્ય), શ્રીમતી ધારાબેન અમિતભાઇ માણેક - (પ્લે-બેક સિંગર) ઉપસ્થિત રહેશે.","જેમાં શ્રીમતી રીવાબા રવીન્દ્રસિંહ જાડેજા (કરણી સેના), શ્રીમતી રેખાબા ઝાલા(વડોદરા) વોર્ડ ૧૬ મહિલા મોરચા પ્રમુખ, શ્રીમતી બીનાબેન આચાર્ય(મંત્રી,ગુજરાત પ્રદેશ ભાજપ), શ્રીમતી ભાનુબેન બાબરીયા, (કોર્પોરેટર વોર્ડ નં.",0.1023
57 છે.,જ્યાં નીતિશ રાણાએ 57 અને શુભમન ગિલની શાનદાર શરૂઆત બાદ 33 રનની ઇનિંગ્સ રમી હતી.,0.2818
તેની પુત્રી બી શફેર સાથે અન્ના વિન્ટૂર,ક્રિસ્ટીના એગ્લીરારા પુત્રી સમર રેઈન અને કિમ કાર્દિયન પુત્રી ઉત્તર સાથે,0.1362
માસિક સ્વ-પરીક્ષા તેને પ્રારંભિક શોધવામાં મદદ કરી શકે છે.,સર્જરી મદદ કરી શકે છે,0.2488
"મોટે ભાગે, મેલાનોમાનું પ્રથમ સંકેત એ હાલના છછુંદરના આકાર, આકાર અથવા રંગમાં ફેરફાર છે.","સંકેત: મોટે ભાગે, આ મોટી છબીઓ પૈકીનું એક છે.",0.2126
તે નવા અથવા અસાધારણ દેખાતી છછુંદર તરીકે પણ દેખાઈ શકે છે.,આ પેસ્ટને છછુંદર પર 30 મિનિટ માટે મૂકો.,0.3031
"ત્યારે ચાલુ વર્ષે મહેસાણા જિલ્લામાં કુલ ૧,૬૦૦ જેટલા વિધાર્થીઓ આરટીઇ હેઠળ પ્રવેશ મેળવશે.","જોકે, આ પરિસ્થિતિ વચ્ચે આરટીઇના કાયદા હેઠળ હવે આર્થિક રીતે નબળા પરિવારના વિદ્યાર્થીઓ પણ હવે સારા શિક્ષણના અધિકાર સાથે આરટીઇ હેઠળ પ્રવેશ મેળવી ખાનગી શાળાઓમાં અભ્યાસ કરવા પ્રવેશ મેળવી રહ્યા છે.",0.2455
રસ્તામાં જ્યાં પણ તે રોકાતી ત્યારે તેને લાકડીઓ અને બેટથી માર મારવામાં આવતો હતો.,રસ્તામાં તેને ચાવતા રહો.,0.1901
પ્લેસમેન્ટ આ પ્રકારના બિઝનેસ સ્ત્રીઓ દ્વારા પ્રશંસા કરવામાં આવશે.,શું સ્ત્રીઓ કહેવું,0.2595
વારંવાર લ્યુબ્રિકેશન સાથે ઉકળે વીજળી ઝડપી અદ્રશ્ય થઈ છે.,તે પહેલેથી નિશ્ચિત વાળમાં ભરો અને તે અદ્રશ્ય લોકો સાથે સુરક્ષિત કરો.,0.1824
કેટલાક જાતકો માટે વિવાહનો શુભ યોગ બની રહ્યો છે.,શશ યોગ : તે શનિનો પંચમહાપુરુષ યોગ છે.,0.1875
"ચણાના સૌથી જાણીતા લાડુ કળીના, બુંદીના.",ઘઉંની જેમ ચણાના સત્તુ પણ થાય.,0.1723
"દિપક સુંદરરાજનની દિગ્દર્શક તરીકેની આ પહેલી ફિલ્મ છે, જેનું મોટા ભાગનું શૂટિંગ જયપુરની આસપાસ કરવામાં આવ્યું છે.",સાંભળવામાં આવ્યું છે કે અક્ષય કુમાર અને પરેશ રાવલને લઈને ઓહ માય ગૉડ ફિલ્મ બનાવનાર દિગ્દર્શક ઉમેશ શુક્લાએ પોતાની આગામી કૉમેડી ફિલ્મ માટે અભિષેક બચ્ચનને સાઇન કર્યાં છે.,0.1318
આ પહેલા પણ તાપ્સી શૂટિંગની ઘણી ઝલક શેર કરી ચૂકી છે.,શેર કરેલી તસવીરમાં તાપ્સી પન્નુ ગ્રીન ડ્રેસમાં જોવા મળી રહી છે.,0.3173
જો બાળકોને ગળથૂથીમાંથી બાળપણમાં હરતાં-ફરતાં-રમતાં સરળ રીતે માતૃભાષા શીખવવામાં આવે તો એ અંગ્રેજીની જેમ સરળતાથી ગુજરાતી ભાષા સાથે એનો નાતો સતત રહે.,પેઢી દર પેઢી આ પ્રવૃત્તિ થતી રહે તો માતૃભાષા સદા અમર રહે.,0.1521
. જેમાં પોલીસે પત્નીની ધરપકડ કરી હત્યાની કોશિશનો ગુનો નોંધ્યો હતો.,.,0.2281
આજનું બાળક કાલે યુવાન થાય ત્યારે સરળતાથી ગુજરાતી લખી-વાંચી શકે.,માતા અને બાળક સ્વસ્થ,0.1453
એ માટે મુંબઈ ઉપરાંત હવે ગુજરાત અને પરદેશમાં પણ અમુક સંસ્થા-શાળા પોતપોતાની રીતે સંનિષ્ઠ પ્રયાસ કરે છે.,આ ઉપરાંત ગુજરાત ભાજપનાં સભ્યો પણ આ મંચ પર હાજર રહેશે.,0.1203
આવું જ કંઈક ચેન્નઇના ગ્રાઉન્ડ પર જોવા મળ્યું હતું.,૪- કહો કંઈક બીજું કંઈક બીજું છે.,0.1908
પરંતુ એક સમયે 50 ટકાથી વધુ લોકો ભેગા ન થાય તે બાબતનું ધ્યાન રાખવાનું રહેશે અને એસ.,એસ.,0.2494
તેને આશા છે કે તેનો આ હનીમુન જીવનની વિશે યાદોમાં સામેલ થઇ જશે.,પરંતુ એવી આશા છે કે આ ફિલ્મ પણ આ વર્ષના અંત સુધીમાં રિલીઝ થઈ જશે.,0.2345
પી.,પી.,1.0000
"આ કુલ વિદ્યાર્થીઓમાંથી 255 વિદ્યાર્થીઓએ A-1, 1639 વિદ્યાર્થીઓએ A- 2, 4161 વિદ્યાર્થીઓએ B -1, 5868 વિદ્યાર્થીઓએ B- 2, 5125 વિદ્યાર્થીઓએ C -1, 1826 વિદ્યાર્થીઓએ C -2 અને 85 વિદ્યાર્થીઓએ D ગ્રેડ મેળવ્યો છે.",664 વિદ્યાર્થીઓએ E -1 અને 4575 વિદ્યાર્થીઓએ E -2 ગ્રેડ પાર્પ્ત કર્યો છે.,0.3089
માત્ર વત્તા - તમે તેને દાવો કરી શકતા નથી.,આ એકમ માત્ર વત્તા - લો બળતણ વપરાશ.,0.3590
વિશ્વના 100 દેશોમાં હાહાકાર મચાવનાર કોરોના વાયરસે ભારતમાં ઓફિશિયલી પ્રવેશ કરી દીધો.,ત્યારે આ જીવલેણ કોરોના વાયરસે વધુ એક કોરોના વોરિયર નો ભોગ લીધો છે.,0.2127
આજે કોરોના વાયરસના કારણે ભારતમાં પ્રથમ શંકાસ્પદ મોત થયું છે.,જ્યારે કોરોના વાયરસના કારણે દુનિયામાં સર્વાધિક 17669 લોકોના મોત ઈટલીમાં થયાં છે.,0.2670
